Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,My_L1   ,Mz_L1   ,Fx_Real,Fy_Real,Fx_Brush,Fy_Brush
0,0,-10,0,1.03E-06,1817.819946,4000,-5.347330093,-5.309593678,4.867370129,0.00000199,3513.340088,0.019046,10941
0.025,0,-9.989999771,0,1.03E-06,1817.819946,4000,-5.347330093,-5.309613705,4.867370129,0.00000199,3513.340088,0.019027,10954
0.05,0,-9.979999542,0,1.03E-06,1817.819946,4000,-5.347330093,-5.309633732,4.867370129,0.000002,3513.340088,0.019008,10968
0.075,0,-9.970000267,0,1.03E-06,1817.819946,4000,-5.347330093,-5.309653759,4.867370129,0.000002,3513.340088,0.018989,10981
0.1,0,-9.960000038,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309673786,4.867370129,0.000002,3513.340088,0.01897,10995
0.125,0,-9.949999809,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309693336,4.867370129,0.000002,3513.340088,0.018951,11009
0.15,0,-9.93999958,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309713364,4.867370129,0.000002,3513.340088,0.018933,11022
0.175,0,-9.930000305,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309733391,4.867370129,0.00000201,3513.340088,0.018914,11036
0.2,0,-9.940000076,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309752941,4.867370129,0.00000201,3513.340088,0.018895,11050
0.225,0,-9.909999847,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309772968,4.867370129,0.00000201,3513.340088,0.018876,11064
0.25,0,-9.899999619,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309792995,4.867370129,0.00000201,3513.340088,0.018857,11077
0.275,0,-9.890000343,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309812546,4.867370129,0.00000202,3513.340088,0.018838,11092
0.3,0,-9.880000114,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309832573,4.867370129,0.00000202,3513.340088,0.018819,11106
0.325,0,-9.869999886,0,1.04E-06,1817.819946,4000,-5.347330093,-5.309852123,4.867370129,0.00000202,3513.340088,0.0188,11120
0.35,0,-9.859999657,0,1.05E-06,1817.819946,4000,-5.347330093,-5.30987215,4.867370129,0.00000202,3513.340088,0.018781,11134
0.375,0,-9.850000381,0,1.05E-06,1817.819946,4000,-5.347330093,-5.309891701,4.867370129,0.00000202,3513.340088,0.018762,11149
0.4,0,-9.840000153,0,1.05E-06,1817.819946,4000,-5.347330093,-5.309911251,4.867370129,0.00000203,3513.340088,0.018743,11163
0.425,0,-9.829999924,0,1.05E-06,1817.819946,4000,-5.347330093,-5.309931278,4.867370129,0.00000203,3513.340088,0.018724,11178
0.45,0,-9.819999695,0,1.05E-06,1817.819946,4000,-5.347330093,-5.309950829,4.867370129,0.00000203,3513.340088,0.018705,11193
0.475,0,-9.81000042,0,1.05E-06,1817.819946,4000,-5.347330093,-5.309970379,4.867370129,0.00000203,3513.340088,0.018686,11208
0.5,0,-9.800000191,0,1.05E-06,1817.819946,4000,-5.347330093,-5.309989929,4.867370129,0.00000203,3513.340088,0.018667,11224
0.525,0,-9.789999962,0,1.05E-06,1817.819946,4000,-5.347330093,-5.31000948,4.867370129,0.00000204,3513.340088,0.018648,11239
0.55,0,-9.779999733,0,1.05E-06,1817.819946,4000,-5.347330093,-5.31002903,4.867370129,0.00000204,3513.340088,0.018629,11255
0.575,0,-9.770000458,0,1.06E-06,1817.819946,4000,-5.347330093,-5.31004858,4.867370129,0.00000204,3513.340088,0.01861,11270
0.6,0,-9.760000229,0,1.06E-06,1817.819946,4000,-5.347330093,-5.31006813,4.867370129,0.00000204,3513.340088,0.018591,11286
0.625,0,-9.75,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310087681,4.867370129,0.00000204,3513.340088,0.018572,11302
0.65,0,-9.739999771,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310107231,4.867370129,0.00000205,3513.340088,0.018553,11319
0.675,0,-9.729999542,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310126781,4.867370129,0.00000205,3513.340088,0.018534,11335
0.7,0,-9.740000267,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310146332,4.867370129,0.00000205,3513.340088,0.018515,11351
0.725,0,-9.710000038,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310165882,4.867370129,0.00000205,3513.340088,0.018496,11368
0.75,0,-9.699999809,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310185432,4.867370129,0.00000206,3513.340088,0.018477,11384
0.775,0,-9.68999958,0,1.06E-06,1817.819946,4000,-5.347330093,-5.310204506,4.867370129,0.00000206,3513.340088,0.018458,11400
0.8,0,-9.680000305,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310224056,4.867370129,0.00000206,3513.340088,0.018439,11416
0.825,0,-9.670000076,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310243607,4.867370129,0.00000206,3513.340088,0.01842,11432
0.85,0,-9.659999847,0,1.07E-06,1817.819946,4000,-5.347330093,-5.31026268,4.867370129,0.00000206,3513.340088,0.018401,11447
0.875,0,-9.649999619,0,1.07E-06,1817.819946,4000,-5.347330093,-5.31028223,4.867370129,0.00000207,3513.340088,0.018382,11461
0.9,0,-9.640000343,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310301304,4.867370129,0.00000207,3513.340088,0.018363,11474
0.925,0,-9.630000114,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310320854,4.867370129,0.00000207,3513.340088,0.018344,11485
0.95,0,-9.619999886,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310339928,4.867370129,0.00000207,3513.340088,0.018325,11493
0.975,0,-9.609999657,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310359001,4.867370129,0.00000208,3513.340088,0.018306,11499
1,0,-9.600000381,0,1.07E-06,1817.819946,4000,-5.347330093,-5.310378551,4.867370129,0.00000208,3513.340088,0.018287,11500
1.025,0,-9.590000153,0,1.08E-06,1817.819946,4000,-5.347330093,-5.310397625,4.867370129,0.00000208,3513.340088,0.018268,11495
1.05,0,-9.579999924,0,1.08E-06,1817.819946,4000,-5.347330093,-5.310416698,4.867370129,0.00000208,3513.340088,0.018249,11482
1.075,0,-9.569999695,0,1.08E-06,1817.819946,4000,-5.347330093,-5.310436249,4.867370129,0.00000208,3513.340088,0.01823,11458
